LOINC #,Short Name,Long Common Name,CLASS,Rank
11559-2,OxyHgb MFr Bld,Fractional oxyhemoglobin in Blood,Chem,1808
7415-3,C sphaerospermum IgE Qn,Cladosporium sphaerospermum IgE Ab [Units/volume] in Serum,Allergy,1809
34696-5,Collection meth0d Smn,Collection method [Type] of Semen,SPEC,1810
7901-2,H pylori IgA Ser-aCnc,Helicobacter pylori IgA Ab [Units/volume] in Serum,MICRO,1811
49700-8,Metaneph Free SerPl-mCnc,Metanephrine Free [Moles/volume] in Serum or Plasma,Chem,1812
13627-5,RBC Smn Ql Micro,Erythrocytes [Presence] in Semen by Light microscopy,FERT,1813
15192-8,Variant Lymphs Bld Ql Auto,Lymphocytes Variant [Presence] in Blood by Automated count,HEM/BC,1814
2030-5,COHgb MFr BldA,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,Chem,1815
11034-6,AChR Bind Ab Ser-sCnc,Acetylcholine receptor binding Ab [Moles/volume] in Serum,SERO,1816
5838-8,CMV XXX Ql Cult,Cytomegalovirus [Presence] in Unspecified specimen by Organism specific culture,MICRO,1817
24312-1,T pallidum Ab Ser Ql Aggl,Treponema pallidum Ab [Presence] in Serum by Agglutination,MICRO,1818
70198-7,Acetamin SerPl Scn-mCnc,Acetaminophen [Moles/volume] in Serum or Plasma by Screen method,DRUG/TOX,1819
550-4,B pert Ag XXX Ql IF,Bordetella pertussis Ag [Presence] in Unspecified specimen by Immunofluorescence,MICRO,1820
25148-8,CaOx Cry #/area UrnS HPF,Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field,UA,1821
14117-6,IgG index Ser+CSF,IgG index in Serum & CSF,Chem,1822
26509-0,Neuts Band NFr CSF,Neutrophils.band form/100 leukocytes in Cerebral spinal fluid,HEM/BC,1823
12209-3,Eosinophil NFr Fld Manual,Eosinophils/100 leukocytes in Body fluid by Manual count,HEM/BC,1824
666-8,India Ink Prep XXX,Microscopic observation [Identifier] in Unspecified specimen by India ink prep,MICRO,1825
12215-0,VLCFA SerPl-sCnc,Fatty acids.very long chain [Moles/volume] in Serum or Plasma,Chem,1826
19734-3,Chicken Drop IgE Qn,Chicken droppings IgE Ab [Units/volume] in Serum,Allergy,1827
2638-5,MBP CSF-mCnc,Myelin basic protein [Mass/volume] in Cerebral spinal fluid,Chem,1828
14875-9,Phe SerPl-sCnc,Phenylalanine [Moles/volume] in Serum or Plasma,Chem,1829
20643-3,Glutamine SerPl-sCnc,Glutamine [Moles/volume] in Serum or Plasma,Chem,1830
20636-7,Alanine SerPl-sCnc,Alanine [Moles/volume] in Serum or Plasma,Chem,1831
5005-4,EBV DNA XXX Ql PCR,Epstein Barr virus DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,1832
25473-0,Metaneph SerPl-sCnc,Metanephrine [Moles/volume] in Serum or Plasma,Chem,1833
20661-5,Valine SerPl-sCnc,Valine [Moles/volume] in Serum or Plasma,Chem,1834
3861-2,Nordiazepam Ur Ql,Nordiazepam [Presence] in Urine,DRUG/TOX,1835
12361-2,Oxazepam Ur Ql,Oxazepam [Presence] in Urine,DRUG/TOX,1836
15097-9,VMA Ur-mCnc,Vanillylmandelate [Moles/volume] in Urine,Chem,1837
14121-8,Pyruvate Bld-sCnc,Pyruvate [Moles/volume] in Blood,Chem,1838
46268-9,ABO+Rh Gp p transf rx Bld BPU,ABO & Rh group [Type] in Blood from Blood product unit--after transfusion reaction,BLDBK,1839
3436-3,CarboxyTHC Ur-mCnc,Carboxy tetrahydrocannabinol [Mass/volume] in Urine,DRUG/TOX,1840
41163-7,T pallidum DNA XXX Ql PCR,Treponema pallidum DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,1841
20648-2,Isoleucine SerPl-sCnc,Isoleucine [Moles/volume] in Serum or Plasma,Chem,1842
20649-0,Leucine SerPl-sCnc,Leucine [Moles/volume] in Serum or Plasma,Chem,1843
24139-8,Roach IgG Qn,Cockroach IgG Ab [Units/volume] in Serum,Allergy,1844
11183-1,Macadamia IgE Qn,Macadamia IgE Ab [Units/volume] in Serum,Allergy,1845
44607-0,HIV1 Ser EIA-Imp,HIV 1 [interpretation] in Serum by Immunoassay,MICRO,1846
8015-0,RUBV IgM Ser-aCnc,Rubella virus IgM Ab [Units/volume] in Serum,MICRO,1847
6239-8,Lenscale IgE Qn,Lenscale IgE Ab [Units/volume] in Serum,Allergy,1848
5116-9,C diphtheriae Ab Ser EIA-aCnc,Corynebacterium diphtheriae Ab [Units/volume] in Serum by Immunoassay,MICRO,1849
1777-2,ALP Bone SerPl-cCnc,Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma,Chem,1850
22568-0,ASO Ab Titr Ser,Streptolysin O Ab [Titer] in Serum,MICRO,1851
13538-4,CO2 Ur-sCnc,"Carbon dioxide, total [Moles/volume] in Urine",Chem,1852
14976-5,Lecithin/Sphingomyelin Amn-Rto,Lecithin/Sphingomyelin [Ratio] in Amniotic fluid,Chem,1853
19201-3,PSA Free SerPl-aCnc,Prostate Specific Ag Free [Units/volume] in Serum or Plasma,Chem,1854
18482-0,Yeast XXX Ql Cult,Yeast [Presence] in Unspecified specimen by Organism specific culture,MICRO,1855
32789-0,Visc Smn Ql,Viscosity of Semen Qualitative,SPEC,1856
7445-0,A-Lactalb IgE Qn,Lactalbumin alpha IgE Ab [Units/volume] in Serum,Allergy,1857
35670-9,Tobramycin SerPl-mCnc,Tobramycin [Mass/volume] in Serum or Plasma,DRUG/TOX,1858
50927-3,Tobramycin SerPl-sCnc,Tobramycin [Moles/volume] in Serum or Plasma,DRUG/TOX,1858
17819-4,Albumin ?Tm MFr Ur Elph,Albumin/Protein.total in unspecified time Urine by Electrophoresis,Chem,1859
17811-1,Alpha1 Glob ?Tm MFr Ur Elph,Alpha 1 globulin/Protein.total in unspecified time Urine by Electrophoresis,Chem,1860
17813-7,Alpha2 Glob ?Tm MFr Ur Elph,Alpha 2 globulin/Protein.total in unspecified time Urine by Electrophoresis,Chem,1861
17815-2,B-Globulin ?Tm MFr Ur Elph,Beta globulin/Protein.total in unspecified time Urine by Electrophoresis,Chem,1862
17817-8,Gamma glob ?Tm MFr Ur Elph,Gamma globulin/Protein.total in unspecified time Urine by Electrophoresis,Chem,1863
21027-8,PA PPP-Imp,Platelet aggregation [interpretation] in Platelet poor plasma,COAG,1864
13088-0,CH100 SerPl-aCnc,Complement total hemolytic CH100 [Units/volume] in Serum or Plasma,HEM/BC,1865
34165-1,Imm Granulocytes Bld Ql Auto,Granulocytes Immature [Presence] in Blood by Automated count,HEM/BC,1866
8072-1,Insulin Ab Ser-aCnc,Insulin Ab [Units/volume] in Serum,SERO,1867
20660-7,Tyrosine SerPl-sCnc,Tyrosine [Moles/volume] in Serum or Plasma,Chem,1868
20401-6,ANA Speckled Titr Ser,Nuclear Ab pattern.speckled [Titer] in Serum,SERO,1869
533-0,Mycobacterium Bld Cult,Mycobacterium sp identified in Blood by Organism specific culture,MICRO,1870
20651-6,Methionine SerPl-sCnc,Methionine [Moles/volume] in Serum or Plasma,Chem,1871
9360-9,B quintana IgG Titr Ser,Bartonella quintana IgG Ab [Titer] in Serum,MICRO,1872
23870-9,HCV100+5-1-1 Ab Ser Ql IB,Hepatitis C virus 100+5-1-1 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1873
59408-5,SaO2 % BldA PulseOx,Oxygen saturation in Arterial blood by Pulse oximetry,HEMODYN.MOLEC,1874
14678-7,Cortis PM SerPl-mCnc,Cortisol [Moles/volume] in Serum or Plasma --evening specimen,Chem,1875
15086-2,Oxalate Ur-mCnc,Oxalate [Moles/volume] in Urine,Chem,1876
4991-6,B burgdor DNA XXX Ql PCR,Borrelia burgdorferi DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,1877
22070-7,HP gene Mut Anal Bld/T,HP gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,MOLPATH.MUT,1878
6286-9,Wormwood IgE Qn,Wormwood IgE Ab [Units/volume] in Serum,Allergy,1879
32220-6,L/K Microsom1 Ab Ser-aCnc,Liver kidney microsomal 1 Ab [Units/volume] in Serum,SERO,1880
9326-0,PS IgG Ser Ql IA,Phosphatidylserine IgG Ab [Presence] in Serum by Immunoassay,COAG,1881
9361-7,B quintana IgM Titr Ser,Bartonella quintana IgM Ab [Titer] in Serum,MICRO,1882
20637-5,Arginine SerPl-sCnc,Arginine [Moles/volume] in Serum or Plasma,Chem,1883
20640-9,Citrulline SerPl-sCnc,Citrulline [Moles/volume] in Serum or Plasma,Chem,1884
20644-1,Glycine SerPl-sCnc,Glycine [Moles/volume] in Serum or Plasma,Chem,1885
20656-5,Serine SerPl-sCnc,Serine [Moles/volume] in Serum or Plasma,Chem,1886
20658-1,Threonine SerPl-sCnc,Threonine [Moles/volume] in Serum or Plasma,Chem,1887
20657-3,Taurine SerPl-sCnc,Taurine [Moles/volume] in Serum or Plasma,Chem,1888
6029-3,A pullulans IgE Qn,Aureobasidium pullulans IgE Ab [Units/volume] in Serum,Allergy,1889
20642-5,Glutamate SerPl-sCnc,Glutamate [Moles/volume] in Serum or Plasma,Chem,1890
20645-8,Histidine SerPl-sCnc,Histidine [Moles/volume] in Serum or Plasma,Chem,1891
20655-7,Proline SerPl-sCnc,Proline [Moles/volume] in Serum or Plasma,Chem,1892
18903-5,Chloramphen Susc Islt,Chloramphenicol [Susceptibility],ABXBACT,1893
17788-1,LUC NFr Bld Auto,Large unstained cells/100 leukocytes in Blood by Automated count,HEM/BC,1894
14246-3,PS IgM Ser-aCnc,Phosphatidylserine IgM Ab [Units/volume] in Serum,COAG,1895
3218-5,Fact X Act/Nor PPP,Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay,COAG,1896
49058-1,aPTT Time BldCRRT,Activated partial thromboplastin time (aPTT) in Blood drawn from CRRT circuit by Coagulation assay,COAG,1897
6061-6,Carrot IgE Qn,Carrot IgE Ab [Units/volume] in Serum,Allergy,1898
20781-1,Cryptosp Stl Ql Acid fast Stn,Cryptosporidium sp [Presence] in Stool by Acid fast stain,MICRO,1899
32217-2,vWF multimers PPP Ql,von Willebrand factor (vWf) multimers [Presence] in Platelet poor plasma,COAG,1900
22412-1,S rectivirgula Ab Ser Ql,Saccharopolyspora rectivirgula Ab [Presence] in Serum,MICRO,1901
20652-4,Ornithine SerPl-sCnc,Ornithine [Moles/volume] in Serum or Plasma,Chem,1902
6733-0,Pigeon Serum Ab Ql ID,Pigeon serum Ab [Presence] in Serum by Immune diffusion (ID),Allergy,1903
20650-8,Lysine SerPl-sCnc,Lysine [Moles/volume] in Serum or Plasma,Chem,1904
10853-0,I belli XXX Ql Acid fast Mod Kiny Stn,Isospora belli [Presence] in Unspecified specimen by Acid fast stain.Kinyoun modified,MICRO,1905
5869-3,HPIV1 Ag XXX Ql IF,Parainfluenza virus 1 Ag [Presence] in Unspecified specimen by Immunofluorescence,MICRO,1906
7059-9,Vancomycin Islt Grad Strip,Vancomycin [Susceptibility] by Gradient strip,ABXBACT,1907
15050-8,Creat Amn-mCnc,Creatinine [Moles/volume] in Amniotic fluid,Chem,1908
29767-1,Bilirub Fld-mCnc,Bilirubin.total [Moles/volume] in Body fluid,Chem,1909
20638-3,Asparagine SerPl-sCnc,Asparagine [Moles/volume] in Serum or Plasma,Chem,1910
12201-0,Cryoglob Ser Ql 1D Cold Inc,Cryoglobulin [Presence] in Serum by 1 day cold incubation,Chem,1911
20499-0,PG MFr Amn,Phosphatidylglycerol/Surfactant.total in Amniotic fluid,Chem,1912
50758-2,HSV1 IgM Titr Ser IF,Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,1913
26927-4,HSV2 IgM Titr Ser IF,Herpes simplex virus 2 IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,1914
16195-0,Benzodiaz Ur Ql Cfm,Benzodiazepines [Presence] in Urine by Confirmatory method,DRUG/TOX,1915
6081-4,Coconut IgE Qn,Coconut IgE Ab [Units/volume] in Serum,Allergy,1916
721-1,Hgb Free Plas-mCnc,Free Hemoglobin [Mass/volume] in Plasma,HEM/BC,1917
31209-0,Islet Cell512 Ab Ser-aCnc,Islet cell 512 Ab [Units/volume] in Serum,SERO,1918
1779-8,ALP Liver SerPl-cCnc,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma,Chem,1919
2334-1,Gastrocult Gast Ql,Hemoglobin.gastrointestinal [Presence] in Gastric fluid,Chem,1920
16085-3,Wheat IgE RAST Ql,Wheat IgE Ab RAST class in Serum,Allergy,1921
29591-5,EV RNA XXX Ql PCR,Enterovirus RNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,1922
24103-4,Plasma Cells # Bld Manual,Plasma cells [#/volume] in Blood by Manual count,HEM/BC,1923
6038-4,Amer Beech IgE Qn,American Beech IgE Ab [Units/volume] in Serum,Allergy,1924
38168-1,Maj XM SerPl LISS-Imp,Major crossmatch [interpretation] by Low ionic strenght saline (LISS),BLDBK,1925
51844-9,Cortis Sal-mCnc,Cortisol [Moles/volume] in Saliva,Chem,1926
15568-9,Soybean IgE RAST Ql,Soybean IgE Ab RAST class in Serum,Allergy,1927
43734-3,aPTT PPP 1:1 saline,aPTT in Platelet poor plasma by Coagulation 1:1 saline,COAG,1928
75513-2,Mixing dRVVT,dRVVT with 1:1 PNP (LA mix),COAG,1929
16982-1,HTLV1+2 Ab Ser Ql IB,HTLV 1+2 Ab [Presence] in Serum by Immunoblot (IB),MICRO,1930
20420-6,PACP Ser-mCnc,Prostatic acid phosphatase [Mass/volume] in Serum,Chem,1931
6125-9,Gluten IgE Qn,Gluten IgE Ab [Units/volume] in Serum,Allergy,1932
30374-3,Basophils NFr CSF,Basophils/100 leukocytes in Cerebral spinal fluid,HEM/BC,1933
14812-2,Lidocain SerPl-mCnc,Lidocaine [Moles/volume] in Serum or Plasma,DRUG/TOX,1934
10526-2,Cyto Spt,Microscopic observation [Identifier] in Sputum by Cyto stain,CYTO,1935
7796-6,Platelet Clump Bld Ql Smear,Platelet clump [Presence] in Blood by Light microscopy,HEM/BC,1936
5959-2,PT imm NP PPP,Prothrombin time (PT) factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,COAG,1937
29559-2,H ducreyi DNA XXX Ql PCR,Haemophilus ducreyi DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,1938
18743-5,Autopsy report,Autopsy report,ATTACH.CLINRPT,1939
25447-4,Insulin Free SerPl-aCnc,Insulin Free [Moles/volume] in Serum or Plasma,Chem,1940
6121-8,F moniliforme IgE Qn,Fusarium moniliforme IgE Ab [Units/volume] in Serum,Allergy,1941
49838-6,Neural tube defect risk pop,Neural tube defect risk in population,Chem,1942
6090-5,Cottonwood IgE Qn,Cottonwood IgE Ab [Units/volume] in Serum,Allergy,1943
30192-9,AChR Mod Ab/AChR Total SFr Ser,Acetylcholine receptor modulation Ab/Acetylcholine Ab.total in Serum,SERO,1944
6287-7,Baker's yeast IgE Qn,Baker's yeast IgE Ab [Units/volume] in Serum,Allergy,1945
6349-5,C trach XXX Ql Cult,Chlamydia trachomatis [Presence] in Unspecified specimen by Organism specific culture,MICRO,1946
4635-9,Hgb Free Ser-mCnc,Free Hemoglobin [Mass/volume] in Serum,HEM/BC,1947
46128-5,tTG IgA Ser EIA-aCnc,Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay,SERO,1948
2711-0,SaO2% BldV,Oxygen saturation in Venous blood,HEMODYN.MOLEC,1949
7797-4,Rouleaux Bld Ql Smear,Rouleaux [Presence] in Blood by Light microscopy,HEM/BC,1950
8277-6,BSA,Body surface area,BDYSURF.ATOM,1951
765-8,Neuts Hyperseg Bld Ql Smear,Neutrophils.hypersegmented [Presence] in Blood by Light microscopy,HEM/BC,1952
1926-5,Base excess BldC Calc-sCnc,Base excess in Capillary blood,Chem,1953
7795-8,Pappenheimer Bod Bld Ql Smear,Pappenheimer bodies [Presence] in Blood by Light microscopy,HEM/BC,1954
20456-0,Yeast Like Fungi UrnS Ql Micro,Fungi.yeastlike [Presence] in Urine sediment by Light microscopy,UA,1955
2716-9,OxyHgb MFr BldV,Fractional oxyhemoglobin in Venous blood,Chem,1956
5819-8,Waxy Casts #/area UrnS LPF,Waxy casts [#/area] in Urine sediment by Microscopy low power field,UA,1957
5807-3,RBC Casts #/area UrnS LPF,RBC casts [#/area] in Urine sediment by Microscopy low power field,UA,1958
38995-7,Mixed Cell Casts #/area UrnS LPF,Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field,UA,1959
46138-4,Urate Cry #/area UrnS HPF,Urate crystals [#/area] in Urine sediment by Microscopy high power field,UA,1960
5335-5,RUBV IgM Ser EIA-aCnc,Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,1961
25154-6,Unident Crys #/area UrnS HPF,Unidentified crystals [#/area] in Urine sediment by Microscopy high power field,UA,1962
33215-5,Agran Neuts Bld Ql Smear,Neutrophils.agranular [Presence] in Blood by Light microscopy,HEM/BC,1963
5788-5,Oval fat bodies #/area UrnS HPF,Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,UA,1964
2272-3,Fat Ur Ql,Fat [Presence] in Urine,Chem,1965
10380-4,Stomatocytes Bld Ql Smear,Stomatocytes [Presence] in Blood by Light microscopy,HEM/BC,1966
7817-0,B burgdor IgG Ser-aCnc,Borrelia burgdorferi IgG Ab [Units/volume] in Serum,MICRO,1967
5062-5,B burgdor IgG Ser EIA-aCnc,Borrelia burgdorferi IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,1968
5786-9,Epith Casts #/area UrnS LPF,Epithelial casts [#/area] in Urine sediment by Microscopy low power field,UA,1969
33216-3,Agran Platelets Bld Ql Smear,Platelets agranular [Presence] in Blood by Light microscopy,HEM/BC,1970
18311-1,Pelger Huet Cells Bld Ql Smear,Pelger Huet cells [Presence] in Blood by Light microscopy,HEM/BC,1971
11281-3,Auer Bodies Bld Ql Smear,Auer rods [Presence] in Blood by Light microscopy,HEM/BC,1972
30003-8,Microalbumin 24H Ur-mCnc,Microalbumin [Mass/volume] in 24 hour Urine,Chem,1973
5784-4,Cystine Cry UrnS Ql Micro,Cystine crystals [Presence] in Urine sediment by Light microscopy,UA,1974
5775-2,Ca Phos Cry UrnS Ql Micro,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,UA,1975
5789-3,Fatty Casts #/area UrnS LPF,Fatty casts [#/area] in Urine sediment by Microscopy low power field,UA,1976
5773-7,Ca Carbonate Cry UrnS Ql Micro,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,UA,1977
25886-3,Creat 24H Ur-mCnc,Creatinine [Moles/volume] in 24 hour Urine,Chem,1978
14958-3,Microalbumin/Creat 24H Ur-mRto,Microalbumin/Creatinine [Mass ratio] in 24 hour Urine,Chem,1979
33647-9,M Protein MFr SerPl Elph,Protein.monoclonal/Protein.total in Serum or Plasma by Electrophoresis,Chem,1980
716-1,Heinz Bod Bld Ql Smear,Heinz bodies [Presence] in Blood by Light microscopy,HEM/BC,1981
5798-4,Leucine Cry UrnS Ql Micro,Leucine crystals [Presence] in Urine sediment by Light microscopy,UA,1982
2027-1,CO2 BldV-sCnc,"Carbon dioxide, total [Moles/volume] in Venous blood",Chem,1983
5815-6,Tyrosine Cry UrnS Ql Micro,Tyrosine crystals [Presence] in Urine sediment by Light microscopy,UA,1984
5766-1,Amm Urate Cry UrnS Ql Micro,Ammonium urate crystals [Presence] in Urine sediment by Light microscopy,UA,1985
30350-3,Hgb BldV-mCnc,Hemoglobin [Mass/volume] in Venous blood,HEM/BC,1986
27200-5,ANA Ser-aCnc,Nuclear Ab [Units/volume] in Serum,SERO,1987
25149-6,Ca Phos Cry #/area UrnS HPF,Calcium phosphate crystals [#/area] in Urine sediment by Microscopy high power field,UA,1988
25158-7,Oval fat bodies UrnS Ql Micro,Oval fat bodies (globules) [Presence] in Urine sediment by Light microscopy,UA,1989
18487-9,Broad Casts #/area UrnS LPF,Broad casts [#/area] in Urine sediment by Microscopy low power field,UA,1990
24015-0,FLUAV+FLUBV Ag XXX Ql,Influenza virus A+B Ag [Presence] in Unspecified specimen,MICRO,1991
6437-8,FLUAV+FLUBV Ag XXX Ql EIA,Influenza virus A+B Ag [Presence] in Unspecified specimen by Immunoassay,MICRO,1992
20457-8,Filament Fungi UrnS Ql Micro,Fungi.filamentous [Presence] in Urine sediment by Light microscopy,UA,1993
5812-3,Sulfonamide cry UrnS Ql Micro,Sulfonamide crystals [Presence] in Urine sediment by Light microscopy,UA,1994
5771-1,Bilirub Cry UrnS Ql Micro,Bilirubin crystals [Presence] in Urine sediment by Light microscopy,UA,1995
25147-0,Ca Carbonate Cry #/area UrnS HPF,Calcium carbonate crystals [#/area] in Urine sediment by Microscopy high power field,UA,1996
40729-6,HSV IgM Ser Ql EIA,Herpes simplex virus IgM Ab [Presence] in Serum by Immunoassay,MICRO,1997
53835-5,"1,5-Anhydroglucitol SerPl-mCnc","1,5-Anhydroglucitol [Mass/volume] in Serum or Plasma",Chem,1998
5777-8,Cholest Cry UrnS Ql Micro,Cholesterol crystals [Presence] in Urine sediment by Light microscopy,UA,1999
20455-2,WBC UrnS Ql Micro,Leukocytes [Presence] in Urine sediment by Light microscopy,UA,2000
45068-4,C trach+GC DNA Cvx Ql PCR,Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Presence] in Cervix by Probe and target amplification method,MICRO,2001
33905-1,Trichomonas #/area UrnS HPF,Trichomonas sp [#/area] in Urine sediment by Microscopy high power field,UA,2001
30394-1,Granulocytes # Bld,Granulocytes [#/volume] in Blood,HEM/BC,2002
5795-0,Hippurate Cry UrnS Ql Micro,Hippurate crystals [Presence] in Urine sediment by Light microscopy,UA,2003
18312-9,Platelet Satel Bld Ql Smear,Platelet satellitism [Presence] in Blood by Light microscopy,HEM/BC,2004
5776-0,Ca Sulfate Cry UrnS Ql Micro,Calcium sulfate crystals [Presence] in Urine sediment by Light microscopy,UA,2005
27071-0,CD45 Cells # Bld,CD45 cells [#/volume] in Blood,CELLMARK,2006
11043-7,Cryofib Plas Ql,Cryofibrinogen [Presence] in Plasma,Chem,2007
32033-3,PS IgM Ser IA-aCnc,Phosphatidylserine IgM Ab [Units/volume] in Serum by Immunoassay,COAG,2008
20578-1,Vancomycin SerPl-mCnc,Vancomycin [Mass/volume] in Serum or Plasma,DRUG/TOX,2009
31012-8,Vancomycin SerPl-sCnc,Vancomycin [Moles/volume] in Serum or Plasma,DRUG/TOX,2009
33256-9,WBC nRBC cor # Bld Auto,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,HEM/BC,2010
708-8,Blasts # Bld Manual,Blasts [#/volume] in Blood by Manual count,HEM/BC,2011
18309-5,nRBC/100 WBC Bld Manual-Rto,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Manual count,HEM/BC,2012
5156-5,EBV NA IgG Ser Ql EIA,Epstein Barr virus nuclear IgG Ab [Presence] in Serum by Immunoassay,MICRO,2013
51928-0,ENA RNP Ab Ser EIA-aCnc,Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum by Immunoassay,SERO,2014
33569-5,ENA SS-A Ab Ser EIA-aCnc,Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum by Immunoassay,SERO,2015
45142-7,ENA SS-B Ab Ser EIA-aCnc,Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum by Immunoassay,SERO,2016
43182-5,ENA SM Ab Ser EIA-aCnc,Smith extractable nuclear Ab [Units/volume] in Serum by Immunoassay,SERO,2017
53348-9,11DOC DBS-sCnc,11-Deoxycorticosterone [Moles/volume] in Dried blood spot,Chem,3000
53339-8,11DC DBS-sCnc,11-Deoxycortisol [Moles/volume] in Dried blood spot,Chem,3000
32854-2,17OHP DBS Ql,17-Hydroxyprogesterone [Presence] in Dried blood spot,CHEM,3000
38473-5,17OHP DBS-mCnc,17-Hydroxyprogesterone [Mass/volume] in Dried blood spot,Chem,3000
53337-2,17OHCS+Androst/Cortis DBS-sRto,17-Hydroxyprogesterone+Androstenedione/Cortisol [Molar Ratio] in Dried blood spot,Chem,3000
53342-2,21DC DBS-sCnc,21-Deoxycortisol [Moles/volume] in Dried blood spot,Chem,3000
53182-2,3-OH-decenoylcarn DBS-sCnc,3-Hydroxydecenoylcarnitine (C10:1-OH) [Moles/volume] in Dried blood spot,Chem,3000
53189-7,3OH-Dodecanoylcarn DBS-sCnc,3-Hydroxydodecanoylcarnitine (C12-OH) [Moles/volume] in Dried blood spot,Chem,3000
53188-9,3-OH-dodecenoylcarn DBS-sCnc,3-Hydroxydodecenoylcarnitine (C12:1-OH) [Moles/volume] in Dried blood spot,Chem,3000
50106-4,3OH-Isovalerylcarn DBS-sCnc,3-Hydroxyisovalerylcarnitine (C5-OH) [Moles/volume] in Dried blood spot,Chem,3000
53171-5,3OH-Isovalerylcarn/C0 DBS-sRto,3-Hydroxyisovalerylcarnitine (C5-OH)/Carnitine.free (C0) [Molar ratio] in Dried blood spot,Chem,3000
53172-3,3OH-Isovalerylcarn/C8 DBS-sRto,3-Hydroxyisovalerylcarnitine (C5-OH)/Octanoylcarnitine (C8) [Molar ratio] in Dried blood spot,Chem,3000
50109-8,3OH-Linoleoylcarn DBS-sCnc,3-Hydroxylinoleoylcarnitine (C18:2-OH) [Moles/volume] in Dried blood spot,Chem,3000
50113-0,3OH-Oleoylcarn DBS-sCnc,3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in Dried blood spot,Chem,3000
50121-3,3OH-Palmitoleylcarn DBS-sCnc,3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in Dried blood spot,Chem,3000
50125-4,3OH-Palmitoylcarn DBS-sCnc,3-Hydroxypalmitoylcarnitine (C16-OH) [Moles/volume] in Dried blood spot,Chem,3000
53201-0,3OH-Palmitoylcarn/C16 DBS-sRto,3-Hydroxypalmitoylcarnitine (C16-OH)/Palmitoylcarnitine (C16) [Molar ratio] in Dried blood spot,Chem,3000
50132-0,3OH-stearoylcarn DBS-sCnc,3-Hydroxystearoylcarnitine (C18-OH) [Moles/volume] in Dried blood spot,Chem,3000
53196-2,3OH-Tdecadienoylcar DBS-sCnc,3-Hydroxytetradecadienoylcarnitine (C14:2-OH) [Moles/volume] in Dried blood spot,Chem,3000
50281-5,3OH-Tdecanoylcarn DBS-sCnc,3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in Dried blood spot,Chem,3000
53197-0,3OH-Tdecenoylcarn DBS-sCnc,3-Hydroxytetradecenoylcarnitine (C14:1-OH) [Moles/volume] in Dried blood spot,Chem,3000
50157-7,Acetylcarn DBS-sCnc,Acetylcarnitine (C2) [Moles/volume] in Dried blood spot,Chem,3000
53152-5,Aile+Ile+Leu+Hyp DBS-sCnc,Alloisoleucine+Isoleucine+Leucine+Hydroxyproline [Moles/volume] in Dried blood spot,Chem,3000
53154-1,Aile+Ile+Leu+Hyp/Alanine DBS-sRto,Alloisoleucine+Isoleucine+Leucine+Hydroxyproline/Alanine [Molar ratio] in Dried blood spot,Chem,3000
53153-3,Aile+Ile+Leu+Hyp/Phe DBS-sRto,Alloisoleucine+Isoleucine+Leucine+Hydroxyproline/Phenylalanine [Molar ratio] in Dried blood spot,Chem,3000
53393-5,Aile+Ile+Leu+Hyp+Val/Phe+Tyr DBS-sRto,Alloisoleucine+Isoleucine+Leucine+Hydroxyproline+Valine/Phenylalanine+Tyrosine [Molar ratio] in Dried blood spot,Chem,3000
46733-2,Amino acidemias DBS-Imp,Amino acidemias newborn screen interpretation,Chem,3000
53344-8,Androst DBS-sCnc,Androstenedione [Moles/volume] in Dried blood spot,Chem,3000
